 H_par	H_perp
  -8.6592263593689429E-008  -1.9809999999999979     
   3.1780753420267836E-002  -1.8207226542535357     
   6.0061960314227690E-002  -1.7199516158669148     
   8.6929953231250148E-002  -1.6587236609005165     
  0.11168004775561340       -1.5971000491307059     
  0.13430693619915185       -1.5351360353039716     
  0.15689716246346572       -1.4927773713487595     
  0.17805105225864698       -1.4501099347254980     
  0.19776492042235752       -1.4071709335579448     
  0.21603594256055075       -1.3639976068607942     
  0.23633511772700613       -1.3403233610323153     
  0.25205863313834770       -1.2967295190055741     
  0.27465129462012172       -1.2921329909740293     
  0.28816225393609801       -1.2481680637664414     
  0.30506346518795996       -1.2235429220944862     
  0.32119439130768390       -1.1987139621246121     
  0.33655316926919987       -1.1737005428365690     
  0.35113837665139502       -1.1485220243611451     
  0.37112937030193177       -1.1422188890485445     
  0.38449595190772340       -1.1166574510415328     
  0.39708534931013162       -1.0909831462324475     
  0.41606515309880521       -1.0838868891064544     
  0.43491821940427777       -1.0764604695158164     
  0.43800956145818326       -1.0318859549733246     
  0.44781701178508304       -1.0058135632192871     
  0.46530267467520858      -0.99784488821664918     
  0.48264660185525154      -0.98957225997780385     
  0.49076370074715375      -0.96317806766400060     
  0.50749873063037942      -0.95446636316244982     
  0.52407917147540084      -0.94546391894437587     
  0.54049997271903760      -0.93617347724164868     
  0.54645537141892608      -0.90945452170375374     
  0.55164592919816735      -0.88281808363846415     
  0.56696921128106337      -0.87305607692709453     
  0.58211978904023742      -0.86302812886240809     
  0.60856457575206913      -0.86912033524691157     
  0.60012872092708336      -0.82600636699629781     
  0.61445311764872934      -0.81540687157501723     
  0.62859034598798191      -0.80455899530780772     
  0.65512250704390074      -0.80900896210395234     
  0.66914188231827221      -0.79745228153636849     
  0.68295743048182289      -0.78565268926521592     
  0.69656494318451356      -0.77361377956080590     
  0.68268034171121184      -0.73208507090437436     
  0.70924617983010241      -0.73444595199129925     
  0.72195600781261415      -0.72195603937031549     
  0.72005912527928639      -0.69535304421712918     
  0.73208504106346695      -0.68268037371166712     
  0.77361374911298331      -0.69656497700024655     
  0.77055846806902273      -0.66983628394341310     
  0.78213136367461866      -0.65628616468464507     
  0.80900893346763614      -0.65512254240680634     
  0.82031918267613169      -0.64090361095375581     
  0.81540684471641667      -0.61445315329129646     
  0.82600634076383650      -0.60012875703296920     
  0.85273726795493043      -0.59709308473701239     
  0.86302810341714220      -0.58211982676439600     
  0.87305605214408133      -0.56696924944355753     
  0.89977902128366316      -0.56224435333564082     
  0.90945449781742904      -0.54645541117244678     
  0.91885294568565845      -0.53050001338811315     
  0.92797150202992662      -0.51438302015163928     
  0.97212529270846471      -0.51688820384729406     
  0.96317804621203618      -0.49076374284900548     
