 gamma	phi_min	H_ext
   1.7453293005625408E-002  -1144739.8100661342       0.63999998569488525     
   1.7453293005625408E-002  -1144739.8102693327       0.60000002384185791     
   1.7453293005625408E-002  -1144739.8104788586       0.56000006198883057     
   1.7453293005625408E-002  -1144739.8106950226       0.51999998092651367     
   1.7453293005625408E-002  -1144739.8109188075       0.48000001907348633     
   1.7453293005625408E-002  -1144739.8111492814       0.44000005722045898     
   1.7453293005625408E-002  -1144739.8113874109       0.40000009536743164     
   1.7453293005625408E-002  -1144739.8116342810       0.36000001430511475     
   1.7453293005625408E-002  -1144739.8118889912       0.32000005245208740     
   1.7453293005625408E-002  -1144739.8121532777       0.28000009059906006     
   1.7453293005625408E-002  -1144739.8124263496       0.24000000953674316     
   1.7453293005625408E-002  -1144739.8127093189       0.20000004768371582     
   1.7453293005625408E-002  -1144739.8130034534       0.16000008583068848     
   1.7453293005625408E-002  -1144739.8133079915       0.12000000476837158     
   1.7453293005625408E-002  -1144739.8136249117        8.0000042915344238E-002
   1.7453293005625408E-002  -1144739.8139535638        4.0000081062316895E-002
   1.7453293005625408E-002  -1144739.8142960356        0.0000000000000000     
   1.7453293005625408E-002  -1144739.8146517808       -3.9999961853027344E-002
   1.7453293005625408E-002  -1144739.8150230306       -7.9999923706054688E-002
   1.7453293005625408E-002  -1144739.8154093588      -0.11999988555908203     
   1.7453293005625408E-002  -1144739.8158131831      -0.15999984741210938     
   1.7453293005625408E-002  -1144739.8162342135      -0.20000004768371582     
   1.7453293005625408E-002  -1144739.8166751030      -0.24000000953674316     
   1.7453293005625408E-002  -1144739.8171357205      -0.27999997138977051     
   1.7453293005625408E-002  -1144739.8176190315      -0.31999993324279785     
   1.7453293005625408E-002  -1144739.8181258829      -0.35999989509582520     
   1.7453293005625408E-002  -1144739.8186572716      -0.39999985694885254     
   1.7453293005625408E-002  -1144739.8192166928      -0.44000005722045898     
   1.7453293005625408E-002  -1144739.8198055201      -0.48000001907348633     
   1.7453293005625408E-002  -1144739.8204253204      -0.51999998092651367     
   1.7453293005625408E-002  -1144739.8210803829      -0.55999994277954102     
