 phi	energy	
  -343.77466751209226      -0.16196955102883753     
  -339.19100964991867      -0.10748745957452027     
  -334.60735178774507       -4.1961800470571631E-002
  -330.02369392557142        3.3083768661684970E-002
  -325.44000874264191       0.11591057693335577     
  -320.85635088046826       0.20460620689529935     
  -316.27269301829466       0.29713499440563196     
  -311.68903515612107       0.39138663266452356     
  -307.10537729394741       0.48522893238793752     
  -302.52171943177382       0.57656052711411210     
  -297.93803424884430       0.66336316091027114     
  -293.35437638667065       0.74374920379068299     
  -288.77071852449706       0.81601085061331713     
  -284.18706066232340       0.87865944319423128     
  -279.60340280014981       0.93046174602916454     
  -275.01974493797621       0.97046910128614161     
  -270.43608707580256       0.99803926614550009     
  -265.85240189287305        1.0128504400760101     
  -261.26874403069939        1.0149067645530072     
  -256.68508616852580        1.0045362945927181     
  -252.10142830635218       0.98237975761951413     
  -247.51777044417858       0.94937190840590868     
  -242.93408526124904       0.90671501135811439     
  -238.35042739907541       0.85584689924915103     
  -233.76676953690179       0.79840049416088577     
  -229.18311167472820       0.73616092212020967     
  -224.59945381255457       0.67101765277213132     
  -220.01579595038095       0.60491431614743718     
  -215.43212442782936       0.53979707322466586     
  -210.84846656565577       0.47756402122034747     
  -206.26480870348215       0.42001404452675389     
  -201.68113718093056       0.36880016185189501     
  -197.09747931875694       0.32538652031044929     
  -192.51382145658334       0.29100908363067218     
  -187.93014993403176       0.26664381972410428     
  -183.34649207185814       0.25298123943121908     
  -178.76283420968451       0.25040788747790071     
  -174.17916268713296       0.25899659051886587     
  -169.59550482495933       0.27850432840628070     
  -165.01184696278571       0.30837874633832252     
  -160.42818910061209       0.34777254148098746     
  -155.84451757806053       0.39556580857014667     
  -151.26085971588691       0.45039478383925768     
  -146.67720185371329       0.51068844834779925     
  -142.09353033116170       0.57470939989950831     
  -137.50987246898811       0.64059885826822505     
  -132.92621460681448       0.70642671796556877     
  -128.34254308426290       0.77024186593376853     
  -123.75888522208929       0.83012318395114570     
  -119.17522735991567       0.88423162286395052     
  -114.59155583736410       0.93085851956859167     
  -110.00789797519047       0.96847099787044266     
  -105.42424011301686       0.99575414430392117     
  -100.84058225084324        1.0116462840362279     
  -96.256924388669631        1.0153685856115713     
  -91.673239205740089        1.0064472502079900     
  -87.089581343566479       0.98472832374971886     
  -82.505923481392855       0.95038375799569119     
  -77.922265619219246       0.90390960149884680     
  -73.338607757045622       0.84611575166696884     
  -68.754949894872013       0.77810767906759415     
  -64.171264711942470       0.70126007892723963     
  -59.587606849768854       0.61718594532707693     
  -55.003948987595237       0.52769487271438431     
  -50.420291125421620       0.43475076784645145     
  -45.836633263248004       0.34042330867359361     
  -41.252975401074387       0.24683702211233691     
  -36.669317538900771       0.15611883587933398     
  -32.085632355971235        7.0344940005451745E-002
