 phi	energy	
  -343.77466751209226      -0.14105685531844281     
  -339.19100964991867      -0.10184104628718402     
  -334.60735178774507       -5.1617787313500835E-002
  -330.02369392557142        8.1871469344685921E-003
  -325.44000874264191        7.5932484209823292E-002
  -320.85635088046826       0.14980245651513746     
  -316.27269301829466       0.22785614267943055     
  -311.68903515612107       0.30807582697717112     
  -307.10537729394741       0.38841907657304842     
  -302.52171943177382       0.46687087269458039     
  -297.93803424884430       0.54149527566998545     
  -293.35437638667065       0.61048269958045220     
  -288.77071852449706       0.67219817664906356     
  -284.18706066232340       0.72522050805978844     
  -279.60340280014981       0.76837803341184330     
  -275.01974493797621       0.80077739184251584     
  -270.43608707580256       0.82182500565597016     
  -265.85240189287305       0.83124076758168775     
  -261.26874403069939       0.82906339553732655     
  -256.68508616852580       0.81564799014114919     
  -252.10142830635218       0.79165475597602408     
  -247.51777044417858       0.75803019638617375     
  -242.93408526124904       0.71598052787522881     
  -238.35042739907541       0.66693969179837775     
  -233.76676953690179       0.61252892190064778     
  -229.18311167472820       0.55451392654015186     
  -224.59945381255457       0.49475715253947217     
  -220.01579595038095       0.43516777480683710     
  -215.43212442782936       0.37765031151329298     
  -210.84846656565577       0.32405420203949920     
  -206.26480870348215       0.27612310497887438     
  -201.68113718093056       0.23544854386801772     
  -197.09747931875694       0.20342718747304114     
  -192.51382145658334       0.18122215798366126     
  -187.93014993403176       0.16973160092866732     
  -183.34649207185814       0.16956359641982344     
  -178.76283420968451       0.18101840747713832     
  -174.17916268713296       0.20407917225577249     
  -169.59550482495933       0.23841021276265212     
  -165.01184696278571       0.28336439833998078     
  -160.42818910061209       0.33799796728600184     
  -155.84451757806053       0.40109357757779107     
  -151.26085971588691       0.47118949169952423     
  -146.67720185371329       0.54661708014808208     
  -142.09353033116170       0.62554217942474533     
  -137.50987246898811       0.70601058501354919     
  -132.92621460681448       0.78599898090184239     
  -128.34254308426290       0.86346571493594448     
  -123.75888522208929       0.93640226417106920     
  -119.17522735991567        1.0028861121727282     
  -114.59155583736410        1.0611294690160646     
  -110.00789797519047        1.1095250837431823     
  -105.42424011301686        1.1466891035342692     
  -100.84058225084324        1.1714966498070449     
  -96.256924388669631        1.1831118630373365     
  -91.673239205740089        1.1810104941622828     
  -87.089581343566479        1.1649948834207873     
  -82.505923481392855        1.1352005447784184     
  -77.922265619219246        1.0920944209182157     
  -73.338607757045622        1.0364648653739232     
  -68.754949894872013       0.96940350464191116     
  -64.171264711942470       0.89227897293731129     
  -59.587606849768854       0.80670603905437566     
  -55.003948987595237       0.71450388662732978     
  -50.420291125421620       0.61765376403937122     
  -45.836633263248004       0.51825033437689660     
  -41.252975401074387       0.41845059338338580     
  -36.669317538900771       0.32042121360402387     
  -32.085632355971235       0.22628509879743230     
  -27.501974493797618       0.13807179776264206     
  -22.918316631624002        5.7664709849752624E-002
  -18.334658769450385       -1.3242396423525926E-002
  -13.751000907276769       -7.3186921669565003E-002
  -9.1673430451031521      -0.12097256748967465     
  -4.5836578621736166      -0.15569792020522313     
   0.0000000000000000      -0.17677669143305930     
   4.5836578621736166      -0.18395200494604821     
   9.1673157243472332      -0.17730025423721987     
   13.750973586520850      -0.15722773653798564     
   18.334631448694466      -0.12445876180414056     
   22.918289310868083       -8.0015796745435297E-002
   27.501974493797618       -2.5191805005101625E-002
   32.085632355971235        3.8482430521980526E-002
   36.669290218144852       0.10928019894237037     
   41.252948080318468       0.18532236585662154     
   45.836605942492085       0.26462612527668594     
   50.420263804665701       0.34515590881892566     
   55.003948987595237       0.42487591604401109     
   59.587606849768854       0.50180010061397873     
   64.171264711942470       0.57404542040422624     
   68.754922574116094       0.63987751167091667     
   73.338580436289703       0.69775476251619861     
   77.922238298463327       0.74636679783403514     
   82.505923481392855       0.78466707384355416     
   87.089581343566479       0.81189751842353286     
   91.673239205740089       0.82760784895103057     
   96.256897067913712       0.83166453292244502     
   100.84055493008732       0.82425274604757348     
   105.42421279226095       0.80586979450030316     
   110.00787065443456       0.77731044109280067     
  -343.77466751209226      -0.36018673127063960     
  -339.19100964991867      -0.32988713378710821     
  -334.60735178774507      -0.28712137241322189     
  -330.02369392557142      -0.23326751937291207     
  -325.44000874264191      -0.16992880197608651     
  -320.85635088046826       -9.8892748442016509E-002
  -316.27269301829466       -2.2082183468392691E-002
  -311.68903515612107        5.8493128937433414E-002
  -307.10537729394741       0.14078848113821407     
  -302.52171943177382       0.22277636759035546     
  -297.93803424884430       0.30249826473100838     
  -293.35437638667065       0.37811191940244859     
  -288.77071852449706       0.44794000440189935     
